/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[22:07:41] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.80145	test-auc:0.78939
[44]	train-auc:0.87522	test-auc:0.85038
[45]	train-auc:0.87586	test-auc:0.85073
[46]	train-auc:0.87672	test-auc:0.85122
[47]	train-auc:0.87726	test-auc:0.85146
[48]	train-auc:0.87764	test-auc:0.85159
[49]	train-auc:0.87846	test-auc:0.85206
[50]	train-auc:0.87898	test-auc:0.85225
[51]	train-auc:0.87962	test-auc:0.85266
[52]	train-auc:0.88006	test-auc:0.85297
[53]	train-auc:0.88071	test-auc:0.85308
[54]	train-auc:0.88131	test-auc:0.85352
[55]	train-auc:0.88181	test-auc:0.85366
[56]	train-auc:0.88233	test-auc:0.85381
[57]	train-auc:0.88290	test-auc:0.85389
[58]	train-auc:0.88378	test-auc:0.85448
[59]	train-auc:0.88408	test-auc:0.85465
[60]	train-auc:0.88455	test-auc:0.85477
[61]	train-auc:0.88514	test-auc:0.85510
[62]	train-auc:0.88572	test-auc:0.85529
[63]	train-auc:0.88674	test-auc:0.85613
[64]	train-auc:0.88721	test-auc:0.85631
[65]	train-auc:0.88760	test-auc:0.85635
[66]	train-auc:0.88797	test-auc:0.85644
[67]	train-auc:0.88845	test-auc:0.85669
[68]	train-auc:0.88894	test-auc:0.85682
[69]	train-auc:0.88985	test-auc:0.85752
[70]	train-auc:0.89028	test-auc:0.85768
[71]	train-auc:0.89057	test-auc:0.85786
[72]	train-auc:0.89122	test-auc:0.85821
[73]	train-auc:0.89159	test-auc:0.85842
[74]	train-auc:0.89191	test-auc:0.85854
[75]	train-auc:0.89240	test-auc:0.85868
[76]	train-auc:0.89302	test-auc:0.85912
[77]	train-auc:0.89337	test-auc:0.85915
[78]	train-auc:0.89383	test-auc:0.85940
[79]	train-auc:0.89420	test-auc:0.85944
[80]	train-auc:0.89446	test-auc:0.85949
[81]	train-auc:0.89479	test-auc:0.85959
[82]	train-auc:0.89516	test-auc:0.85964
[83]	train-auc:0.89569	test-auc:0.85984
[84]	train-auc:0.89600	test-auc:0.85995
[85]	train-auc:0.89626	test-auc:0.86006
[86]	train-auc:0.89659	test-auc:0.86014
[87]	train-auc:0.89688	test-auc:0.86025
[88]	train-auc:0.89711	test-auc:0.86030
[89]	train-auc:0.89736	test-auc:0.86031
[90]	train-auc:0.89753	test-auc:0.86038
[91]	train-auc:0.89783	test-auc:0.86043
[92]	train-auc:0.89820	test-auc:0.86037
[93]	train-auc:0.89849	test-auc:0.86054
[94]	train-auc:0.89876	test-auc:0.86065
[95]	train-auc:0.89908	test-auc:0.86077
[96]	train-auc:0.89959	test-auc:0.86082
[97]	train-auc:0.89980	test-auc:0.86093
[98]	train-auc:0.90009	test-auc:0.86102
[99]	train-auc:0.90055	test-auc:0.86128
[100]	train-auc:0.90096	test-auc:0.86140
[101]	train-auc:0.90132	test-auc:0.86146
[102]	train-auc:0.90168	test-auc:0.86164
[103]	train-auc:0.90194	test-auc:0.86177
[104]	train-auc:0.90228	test-auc:0.86182
[105]	train-auc:0.90250	test-auc:0.86190
[106]	train-auc:0.90285	test-auc:0.86180
[107]	train-auc:0.90306	test-auc:0.86186
[108]	train-auc:0.90340	test-auc:0.86202
[109]	train-auc:0.90377	test-auc:0.86209
[110]	train-auc:0.90416	test-auc:0.86217
[111]	train-auc:0.90435	test-auc:0.86220
[112]	train-auc:0.90464	test-auc:0.86226
[113]	train-auc:0.90490	test-auc:0.86234
[114]	train-auc:0.90514	test-auc:0.86236
[115]	train-auc:0.90557	test-auc:0.86263
[116]	train-auc:0.90574	test-auc:0.86266
[117]	train-auc:0.90607	test-auc:0.86274
[118]	train-auc:0.90641	test-auc:0.86284
[119]	train-auc:0.90665	test-auc:0.86284
[120]	train-auc:0.90695	test-auc:0.86286
[121]	train-auc:0.90723	test-auc:0.86284
[122]	train-auc:0.90782	test-auc:0.86317
[123]	train-auc:0.90797	test-auc:0.86319
[124]	train-auc:0.90833	test-auc:0.86323
[125]	train-auc:0.90855	test-auc:0.86325
[126]	train-auc:0.90887	test-auc:0.86338
[127]	train-auc:0.90926	test-auc:0.86340
[128]	train-auc:0.90963	test-auc:0.86360
[129]	train-auc:0.90993	test-auc:0.86362
[130]	train-auc:0.91014	test-auc:0.86357
[131]	train-auc:0.91044	test-auc:0.86370
[132]	train-auc:0.91063	test-auc:0.86376
[133]	train-auc:0.91097	test-auc:0.86389
[134]	train-auc:0.91122	test-auc:0.86386
[135]	train-auc:0.91141	test-auc:0.86388
[136]	train-auc:0.91161	test-auc:0.86393
[137]	train-auc:0.91192	test-auc:0.86394
[138]	train-auc:0.91227	test-auc:0.86402
[139]	train-auc:0.91267	test-auc:0.86414
[140]	train-auc:0.91304	test-auc:0.86412
[141]	train-auc:0.91315	test-auc:0.86418
[142]	train-auc:0.91325	test-auc:0.86422
[143]	train-auc:0.91359	test-auc:0.86426
[144]	train-auc:0.91380	test-auc:0.86429
[145]	train-auc:0.91398	test-auc:0.86430
[146]	train-auc:0.91424	test-auc:0.86431
[147]	train-auc:0.91436	test-auc:0.86432
[148]	train-auc:0.91465	test-auc:0.86429
[149]	train-auc:0.91487	test-auc:0.86429
[150]	train-auc:0.91530	test-auc:0.86447
[151]	train-auc:0.91559	test-auc:0.86450
[152]	train-auc:0.91582	test-auc:0.86451
[153]	train-auc:0.91607	test-auc:0.86449
[154]	train-auc:0.91622	test-auc:0.86448
[155]	train-auc:0.91652	test-auc:0.86448
[156]	train-auc:0.91677	test-auc:0.86452
[157]	train-auc:0.91695	test-auc:0.86457
[158]	train-auc:0.91724	test-auc:0.86452
[159]	train-auc:0.91739	test-auc:0.86457
[160]	train-auc:0.91767	test-auc:0.86456
[161]	train-auc:0.91785	test-auc:0.86455
[162]	train-auc:0.91807	test-auc:0.86451
[163]	train-auc:0.91843	test-auc:0.86458
[164]	train-auc:0.91856	test-auc:0.86463
[165]	train-auc:0.91874	test-auc:0.86457
[166]	train-auc:0.91892	test-auc:0.86467
[167]	train-auc:0.91921	test-auc:0.86470
[168]	train-auc:0.91952	test-auc:0.86475
[169]	train-auc:0.91973	test-auc:0.86471
[170]	train-auc:0.92008	test-auc:0.86469
[171]	train-auc:0.92020	test-auc:0.86467
[172]	train-auc:0.92039	test-auc:0.86470
[173]	train-auc:0.92061	test-auc:0.86475
[174]	train-auc:0.92074	test-auc:0.86472
[175]	train-auc:0.92087	test-auc:0.86473
[176]	train-auc:0.92111	test-auc:0.86477
[177]	train-auc:0.92124	test-auc:0.86477
[178]	train-auc:0.92161	test-auc:0.86499
[179]	train-auc:0.92177	test-auc:0.86502
[180]	train-auc:0.92202	test-auc:0.86500
[181]	train-auc:0.92230	test-auc:0.86509
[182]	train-auc:0.92263	test-auc:0.86509
[183]	train-auc:0.92275	test-auc:0.86507
[184]	train-auc:0.92294	test-auc:0.86519
[185]	train-auc:0.92312	test-auc:0.86525
[186]	train-auc:0.92333	test-auc:0.86524
[187]	train-auc:0.92356	test-auc:0.86527
[188]	train-auc:0.92377	test-auc:0.86530
[189]	train-auc:0.92405	test-auc:0.86535
[190]	train-auc:0.92423	test-auc:0.86541
[191]	train-auc:0.92439	test-auc:0.86544
[192]	train-auc:0.92448	test-auc:0.86543
[193]	train-auc:0.92473	test-auc:0.86546
[194]	train-auc:0.92505	test-auc:0.86548
[195]	train-auc:0.92513	test-auc:0.86548
[196]	train-auc:0.92537	test-auc:0.86552
[197]	train-auc:0.92549	test-auc:0.86549
[198]	train-auc:0.92565	test-auc:0.86554
[199]	train-auc:0.92592	test-auc:0.86561
[200]	train-auc:0.92610	test-auc:0.86572
[201]	train-auc:0.92637	test-auc:0.86575
[202]	train-auc:0.92651	test-auc:0.86571
[203]	train-auc:0.92665	test-auc:0.86579
[204]	train-auc:0.92676	test-auc:0.86575
[205]	train-auc:0.92693	test-auc:0.86570
[206]	train-auc:0.92717	test-auc:0.86577
[207]	train-auc:0.92738	test-auc:0.86578
[208]	train-auc:0.92760	test-auc:0.86585
[209]	train-auc:0.92775	test-auc:0.86584
[210]	train-auc:0.92794	test-auc:0.86587
[211]	train-auc:0.92809	test-auc:0.86588
[212]	train-auc:0.92832	test-auc:0.86594
[213]	train-auc:0.92852	test-auc:0.86605
[214]	train-auc:0.92872	test-auc:0.86605
[215]	train-auc:0.92897	test-auc:0.86611
[216]	train-auc:0.92906	test-auc:0.86612
[217]	train-auc:0.92924	test-auc:0.86614
[218]	train-auc:0.92934	test-auc:0.86614
[219]	train-auc:0.92953	test-auc:0.86610
[220]	train-auc:0.92977	test-auc:0.86611
[221]	train-auc:0.93000	test-auc:0.86606
[222]	train-auc:0.93021	test-auc:0.86605
[223]	train-auc:0.93048	test-auc:0.86611
[224]	train-auc:0.93072	test-auc:0.86610
[225]	train-auc:0.93083	test-auc:0.86618
[226]	train-auc:0.93109	test-auc:0.86629
[227]	train-auc:0.93123	test-auc:0.86628
[228]	train-auc:0.93138	test-auc:0.86631
[229]	train-auc:0.93142	test-auc:0.86631
[230]	train-auc:0.93173	test-auc:0.86645
[231]	train-auc:0.93200	test-auc:0.86650
[232]	train-auc:0.93222	test-auc:0.86655
[233]	train-auc:0.93240	test-auc:0.86659
[234]	train-auc:0.93264	test-auc:0.86669
[235]	train-auc:0.93281	test-auc:0.86671
[236]	train-auc:0.93309	test-auc:0.86672
[237]	train-auc:0.93336	test-auc:0.86669
[238]	train-auc:0.93352	test-auc:0.86665
[239]	train-auc:0.93379	test-auc:0.86667
[240]	train-auc:0.93393	test-auc:0.86667
[241]	train-auc:0.93401	test-auc:0.86668
[242]	train-auc:0.93426	test-auc:0.86669
[243]	train-auc:0.93445	test-auc:0.86669
[244]	train-auc:0.93468	test-auc:0.86672
[245]	train-auc:0.93484	test-auc:0.86667
[246]	train-auc:0.93498	test-auc:0.86669
[247]	train-auc:0.93511	test-auc:0.86666
[248]	train-auc:0.93536	test-auc:0.86665
[249]	train-auc:0.93554	test-auc:0.86660
[250]	train-auc:0.93580	test-auc:0.86663
[251]	train-auc:0.93594	test-auc:0.86665
[252]	train-auc:0.93606	test-auc:0.86669
[253]	train-auc:0.93631	test-auc:0.86672
[254]	train-auc:0.93651	test-auc:0.86670
[255]	train-auc:0.93663	test-auc:0.86669
[256]	train-auc:0.93676	test-auc:0.86670
[257]	train-auc:0.93687	test-auc:0.86677
[258]	train-auc:0.93706	test-auc:0.86674
[259]	train-auc:0.93723	test-auc:0.86676
[260]	train-auc:0.93744	test-auc:0.86682
[261]	train-auc:0.93762	test-auc:0.86688
[262]	train-auc:0.93784	test-auc:0.86690
[263]	train-auc:0.93805	test-auc:0.86699
[264]	train-auc:0.93825	test-auc:0.86704
[265]	train-auc:0.93835	test-auc:0.86704
[266]	train-auc:0.93855	test-auc:0.86705
[267]	train-auc:0.93861	test-auc:0.86705
[268]	train-auc:0.93868	test-auc:0.86708
[269]	train-auc:0.93889	test-auc:0.86712
[270]	train-auc:0.93902	test-auc:0.86716
[271]	train-auc:0.93920	test-auc:0.86716
[272]	train-auc:0.93934	test-auc:0.86720
[273]	train-auc:0.93946	test-auc:0.86727
[274]	train-auc:0.93961	test-auc:0.86728
[275]	train-auc:0.93971	test-auc:0.86728
[276]	train-auc:0.93981	test-auc:0.86728
[277]	train-auc:0.93997	test-auc:0.86732
[278]	train-auc:0.94022	test-auc:0.86723
[279]	train-auc:0.94036	test-auc:0.86725
[280]	train-auc:0.94047	test-auc:0.86723
[281]	train-auc:0.94054	test-auc:0.86720
[282]	train-auc:0.94073	test-auc:0.86717
[283]	train-auc:0.94086	test-auc:0.86717
[284]	train-auc:0.94101	test-auc:0.86719
[285]	train-auc:0.94110	test-auc:0.86718
[286]	train-auc:0.94123	test-auc:0.86717
[287]	train-auc:0.94135	test-auc:0.86717
[288]	train-auc:0.94141	test-auc:0.86722
[289]	train-auc:0.94151	test-auc:0.86725
[290]	train-auc:0.94163	test-auc:0.86724
[291]	train-auc:0.94181	test-auc:0.86731
[292]	train-auc:0.94198	test-auc:0.86733
[293]	train-auc:0.94207	test-auc:0.86733
[294]	train-auc:0.94217	test-auc:0.86735
[295]	train-auc:0.94236	test-auc:0.86742
[296]	train-auc:0.94245	test-auc:0.86738
[297]	train-auc:0.94267	test-auc:0.86743
[298]	train-auc:0.94282	test-auc:0.86742
[299]	train-auc:0.94292	test-auc:0.86741
[300]	train-auc:0.94298	test-auc:0.86743
[301]	train-auc:0.94302	test-auc:0.86741
[302]	train-auc:0.94314	test-auc:0.86739
[303]	train-auc:0.94334	test-auc:0.86736
[304]	train-auc:0.94349	test-auc:0.86738
[305]	train-auc:0.94367	test-auc:0.86738
[306]	train-auc:0.94376	test-auc:0.86733
[307]	train-auc:0.94383	test-auc:0.86730
[308]	train-auc:0.94396	test-auc:0.86730
[309]	train-auc:0.94415	test-auc:0.86730
[310]	train-auc:0.94433	test-auc:0.86730
[311]	train-auc:0.94459	test-auc:0.86735
[312]	train-auc:0.94480	test-auc:0.86743
[313]	train-auc:0.94503	test-auc:0.86743
[314]	train-auc:0.94517	test-auc:0.86744
[315]	train-auc:0.94532	test-auc:0.86745
[316]	train-auc:0.94552	test-auc:0.86746
[317]	train-auc:0.94562	test-auc:0.86748
[318]	train-auc:0.94572	test-auc:0.86749
[319]	train-auc:0.94583	test-auc:0.86748
[320]	train-auc:0.94597	test-auc:0.86751
[321]	train-auc:0.94618	test-auc:0.86759
[322]	train-auc:0.94632	test-auc:0.86761
[323]	train-auc:0.94644	test-auc:0.86762
[324]	train-auc:0.94649	test-auc:0.86761
[325]	train-auc:0.94658	test-auc:0.86760
[326]	train-auc:0.94675	test-auc:0.86765
[327]	train-auc:0.94688	test-auc:0.86765
[328]	train-auc:0.94701	test-auc:0.86766
[329]	train-auc:0.94727	test-auc:0.86766
[330]	train-auc:0.94749	test-auc:0.86772
[331]	train-auc:0.94766	test-auc:0.86774
[332]	train-auc:0.94782	test-auc:0.86771
[333]	train-auc:0.94795	test-auc:0.86770
[334]	train-auc:0.94812	test-auc:0.86774
[335]	train-auc:0.94828	test-auc:0.86777
[336]	train-auc:0.94829	test-auc:0.86780
[337]	train-auc:0.94848	test-auc:0.86784
[338]	train-auc:0.94859	test-auc:0.86785
[339]	train-auc:0.94864	test-auc:0.86788
[340]	train-auc:0.94876	test-auc:0.86788
[341]	train-auc:0.94879	test-auc:0.86789
[342]	train-auc:0.94884	test-auc:0.86789
[343]	train-auc:0.94905	test-auc:0.86794
[344]	train-auc:0.94930	test-auc:0.86798
[345]	train-auc:0.94943	test-auc:0.86790
[346]	train-auc:0.94955	test-auc:0.86796
[347]	train-auc:0.94965	test-auc:0.86793
[348]	train-auc:0.94983	test-auc:0.86791
[349]	train-auc:0.94988	test-auc:0.86791
[350]	train-auc:0.95004	test-auc:0.86794
[351]	train-auc:0.95017	test-auc:0.86795
[352]	train-auc:0.95034	test-auc:0.86793
[353]	train-auc:0.95048	test-auc:0.86792
[354]	train-auc:0.95054	test-auc:0.86794
[355]	train-auc:0.95061	test-auc:0.86793
[356]	train-auc:0.95072	test-auc:0.86796
[357]	train-auc:0.95087	test-auc:0.86796
[358]	train-auc:0.95093	test-auc:0.86793
[359]	train-auc:0.95097	test-auc:0.86792
[360]	train-auc:0.95102	test-auc:0.86791
[361]	train-auc:0.95108	test-auc:0.86789
[362]	train-auc:0.95113	test-auc:0.86788
[363]	train-auc:0.95134	test-auc:0.86789
[364]	train-auc:0.95147	test-auc:0.86789
[365]	train-auc:0.95160	test-auc:0.86791
[366]	train-auc:0.95165	test-auc:0.86791
[367]	train-auc:0.95175	test-auc:0.86790
[368]	train-auc:0.95192	test-auc:0.86789
[369]	train-auc:0.95208	test-auc:0.86785
[370]	train-auc:0.95223	test-auc:0.86784
[371]	train-auc:0.95234	test-auc:0.86781
[372]	train-auc:0.95245	test-auc:0.86778
[373]	train-auc:0.95253	test-auc:0.86784
[374]	train-auc:0.95271	test-auc:0.86782
[375]	train-auc:0.95286	test-auc:0.86784
[376]	train-auc:0.95295	test-auc:0.86783
[377]	train-auc:0.95308	test-auc:0.86783
[378]	train-auc:0.95313	test-auc:0.86786
[379]	train-auc:0.95332	test-auc:0.86779
[380]	train-auc:0.95349	test-auc:0.86779
[381]	train-auc:0.95360	test-auc:0.86778
[382]	train-auc:0.95373	test-auc:0.86781
[383]	train-auc:0.95378	test-auc:0.86784
[384]	train-auc:0.95395	test-auc:0.86783
[385]	train-auc:0.95407	test-auc:0.86785
[386]	train-auc:0.95430	test-auc:0.86783
[387]	train-auc:0.95446	test-auc:0.86785
[388]	train-auc:0.95460	test-auc:0.86787
[389]	train-auc:0.95468	test-auc:0.86783
[390]	train-auc:0.95482	test-auc:0.86784
[391]	train-auc:0.95499	test-auc:0.86790
[392]	train-auc:0.95503	test-auc:0.86791
[393]	train-auc:0.95516	test-auc:0.86789
[394]	train-auc:0.95525	test-auc:0.86786
[395]	train-auc:0.95535	test-auc:0.86784
[396]	train-auc:0.95547	test-auc:0.86789
[397]	train-auc:0.95562	test-auc:0.86789
[398]	train-auc:0.95564	test-auc:0.86792
[399]	train-auc:0.95574	test-auc:0.86790
[400]	train-auc:0.95589	test-auc:0.86798
[401]	train-auc:0.95592	test-auc:0.86799
[402]	train-auc:0.95603	test-auc:0.86799
[403]	train-auc:0.95609	test-auc:0.86797
[404]	train-auc:0.95614	test-auc:0.86796
[405]	train-auc:0.95630	test-auc:0.86795
[406]	train-auc:0.95646	test-auc:0.86789
[407]	train-auc:0.95659	test-auc:0.86797
[408]	train-auc:0.95662	test-auc:0.86797
[409]	train-auc:0.95677	test-auc:0.86799
[410]	train-auc:0.95681	test-auc:0.86800
[411]	train-auc:0.95685	test-auc:0.86798
[412]	train-auc:0.95693	test-auc:0.86800
[413]	train-auc:0.95701	test-auc:0.86801
[414]	train-auc:0.95716	test-auc:0.86802
[415]	train-auc:0.95728	test-auc:0.86801
[416]	train-auc:0.95735	test-auc:0.86800
[417]	train-auc:0.95738	test-auc:0.86797
[418]	train-auc:0.95749	test-auc:0.86801
[419]	train-auc:0.95765	test-auc:0.86807
[420]	train-auc:0.95783	test-auc:0.86812
[421]	train-auc:0.95788	test-auc:0.86808
[422]	train-auc:0.95794	test-auc:0.86808
[423]	train-auc:0.95798	test-auc:0.86806
[424]	train-auc:0.95815	test-auc:0.86812
[425]	train-auc:0.95827	test-auc:0.86811
[426]	train-auc:0.95834	test-auc:0.86813
[427]	train-auc:0.95850	test-auc:0.86812
[428]	train-auc:0.95871	test-auc:0.86814
[429]	train-auc:0.95875	test-auc:0.86811
[430]	train-auc:0.95892	test-auc:0.86813
[431]	train-auc:0.95909	test-auc:0.86814
[432]	train-auc:0.95923	test-auc:0.86817
[433]	train-auc:0.95933	test-auc:0.86818
[434]	train-auc:0.95946	test-auc:0.86821
[435]	train-auc:0.95958	test-auc:0.86825
[436]	train-auc:0.95968	test-auc:0.86823
[437]	train-auc:0.95984	test-auc:0.86824
[438]	train-auc:0.95991	test-auc:0.86821
[439]	train-auc:0.95994	test-auc:0.86823
[440]	train-auc:0.96001	test-auc:0.86822
[441]	train-auc:0.96016	test-auc:0.86819
[442]	train-auc:0.96028	test-auc:0.86820
[443]	train-auc:0.96035	test-auc:0.86820
[444]	train-auc:0.96053	test-auc:0.86820
[445]	train-auc:0.96068	test-auc:0.86818
[446]	train-auc:0.96077	test-auc:0.86815
[447]	train-auc:0.96087	test-auc:0.86812
[448]	train-auc:0.96100	test-auc:0.86808
[449]	train-auc:0.96105	test-auc:0.86808
[450]	train-auc:0.96115	test-auc:0.86805
[451]	train-auc:0.96123	test-auc:0.86804
[452]	train-auc:0.96131	test-auc:0.86803
[453]	train-auc:0.96143	test-auc:0.86812
[454]	train-auc:0.96146	test-auc:0.86811
[455]	train-auc:0.96152	test-auc:0.86809
[456]	train-auc:0.96165	test-auc:0.86807
[457]	train-auc:0.96176	test-auc:0.86804
[458]	train-auc:0.96179	test-auc:0.86803
[459]	train-auc:0.96193	test-auc:0.86799
[460]	train-auc:0.96205	test-auc:0.86801
[461]	train-auc:0.96216	test-auc:0.86802
[462]	train-auc:0.96220	test-auc:0.86803
[463]	train-auc:0.96228	test-auc:0.86799
[464]	train-auc:0.96231	test-auc:0.86799
[465]	train-auc:0.96233	test-auc:0.86800
[466]	train-auc:0.96245	test-auc:0.86801
[467]	train-auc:0.96248	test-auc:0.86801
[468]	train-auc:0.96264	test-auc:0.86802
[469]	train-auc:0.96272	test-auc:0.86803
[470]	train-auc:0.96281	test-auc:0.86804
[471]	train-auc:0.96292	test-auc:0.86803
[472]	train-auc:0.96306	test-auc:0.86804
[473]	train-auc:0.96308	test-auc:0.86803
[474]	train-auc:0.96317	test-auc:0.86801
[475]	train-auc:0.96326	test-auc:0.86804
[476]	train-auc:0.96339	test-auc:0.86803
[477]	train-auc:0.96342	test-auc:0.86800
[478]	train-auc:0.96352	test-auc:0.86799
[479]	train-auc:0.96359	test-auc:0.86796
[480]	train-auc:0.96362	test-auc:0.86794
[481]	train-auc:0.96370	test-auc:0.86792
[482]	train-auc:0.96382	test-auc:0.86793
[483]	train-auc:0.96385	test-auc:0.86793
[484]	train-auc:0.96396	test-auc:0.86795
[485]	train-auc:0.96406	test-auc:0.86795
[486]	train-auc:0.96419	test-auc:0.86796
[487]	train-auc:0.96432	test-auc:0.86796
[488]	train-auc:0.96447	test-auc:0.86801
[489]	train-auc:0.96454	test-auc:0.86801
[490]	train-auc:0.96467	test-auc:0.86794
[491]	train-auc:0.96480	test-auc:0.86797
[492]	train-auc:0.96483	test-auc:0.86797
[493]	train-auc:0.96491	test-auc:0.86801
[494]	train-auc:0.96502	test-auc:0.86807
[495]	train-auc:0.96510	test-auc:0.86807
[496]	train-auc:0.96526	test-auc:0.86811
[497]	train-auc:0.96531	test-auc:0.86813
[498]	train-auc:0.96538	test-auc:0.86817
[499]	train-auc:0.96547	test-auc:0.86818
[500]	train-auc:0.96564	test-auc:0.86821
[501]	train-auc:0.96570	test-auc:0.86823
[502]	train-auc:0.96574	test-auc:0.86823
[503]	train-auc:0.96585	test-auc:0.86825
[504]	train-auc:0.96592	test-auc:0.86823
[505]	train-auc:0.96603	test-auc:0.86822
[506]	train-auc:0.96609	test-auc:0.86819
[507]	train-auc:0.96621	test-auc:0.86817
[508]	train-auc:0.96624	test-auc:0.86815
[509]	train-auc:0.96634	test-auc:0.86813
[510]	train-auc:0.96642	test-auc:0.86813
[511]	train-auc:0.96652	test-auc:0.86811
[512]	train-auc:0.96661	test-auc:0.86810
[513]	train-auc:0.96664	test-auc:0.86811
[514]	train-auc:0.96666	test-auc:0.86812
[515]	train-auc:0.96675	test-auc:0.86814
[516]	train-auc:0.96686	test-auc:0.86817
[517]	train-auc:0.96692	test-auc:0.86812
[518]	train-auc:0.96705	test-auc:0.86815
[519]	train-auc:0.96711	test-auc:0.86813
[520]	train-auc:0.96725	test-auc:0.86812
[521]	train-auc:0.96734	test-auc:0.86810
[522]	train-auc:0.96739	test-auc:0.86811
[523]	train-auc:0.96746	test-auc:0.86811
[524]	train-auc:0.96752	test-auc:0.86812
[525]	train-auc:0.96765	test-auc:0.86816
[526]	train-auc:0.96777	test-auc:0.86815
[527]	train-auc:0.96782	test-auc:0.86813
[528]	train-auc:0.96785	test-auc:0.86811
[529]	train-auc:0.96794	test-auc:0.86810
[530]	train-auc:0.96804	test-auc:0.86809
[531]	train-auc:0.96817	test-auc:0.86804
[532]	train-auc:0.96823	test-auc:0.86805
[533]	train-auc:0.96833	test-auc:0.86804
[534]	train-auc:0.96835	test-auc:0.86805
[535]	train-auc:0.96841	test-auc:0.86803
[536]	train-auc:0.96844	test-auc:0.86803
[537]	train-auc:0.96847	test-auc:0.86800
[538]	train-auc:0.96851	test-auc:0.86801
[539]	train-auc:0.96854	test-auc:0.86799
[540]	train-auc:0.96864	test-auc:0.86797
[541]	train-auc:0.96867	test-auc:0.86797
[542]	train-auc:0.96877	test-auc:0.86798
[543]	train-auc:0.96888	test-auc:0.86797
[544]	train-auc:0.96895	test-auc:0.86798
[545]	train-auc:0.96907	test-auc:0.86803
[546]	train-auc:0.96917	test-auc:0.86804
[547]	train-auc:0.96925	test-auc:0.86806
[548]	train-auc:0.96940	test-auc:0.86803
[549]	train-auc:0.96951	test-auc:0.86796
[550]	train-auc:0.96962	test-auc:0.86794
[551]	train-auc:0.96970	test-auc:0.86792
[552]	train-auc:0.96975	test-auc:0.86793
[553]	train-auc:0.96986	test-auc:0.86792
[554]	train-auc:0.96993	test-auc:0.86796
[555]	train-auc:0.96999	test-auc:0.86796
[556]	train-auc:0.97005	test-auc:0.86798
[557]	train-auc:0.97011	test-auc:0.86798
[558]	train-auc:0.97019	test-auc:0.86793
[559]	train-auc:0.97023	test-auc:0.86792
[560]	train-auc:0.97025	test-auc:0.86792
[561]	train-auc:0.97038	test-auc:0.86801
